step,Z_site1,Z_site4,Z_site8,Z_site15,Z_site16
0,1.0,-1.0,-1.0,1.0,-1.0
1,0.9801163698825162,-0.960431161671704,-0.960431161671706,0.9603816183832402,-0.9801163698825188
2,0.9122688222929969,-0.8479249341182866,-0.8479249092854636,0.8470048604688981,-0.9122688189443314
3,0.636320758208702,-0.5718922669411877,-0.6655749547167455,0.6766871275263533,-0.7741777914543073
4,0.24723395573163034,-0.17360468192161593,-0.34637743809468946,0.46976740216717117,-0.6360607101781403
5,0.04564719624668887,-0.0707994773898813,-0.19626113110877877,0.24710402800081566,-0.5226346345626901
6,0.1331164185339292,0.0358961702073311,-0.1158237085353388,0.04250910298323962,-0.395305374698832
7,0.05316307996271257,0.06595481641293416,-0.01761066058615605,-0.12904166774677422,-0.2672636286726059
8,-0.08195811844477889,-0.017533948084305973,-0.04094392799362222,-0.25878542379081815,-0.15301107211541662
9,-0.1848835597659535,0.055007405691354594,-0.019902475446845272,-0.3352059195170628,-0.04975028977512207
10,-0.09174958523704255,-0.04519523414894866,-0.019776488994743206,-0.3681947748222352,0.035455375455227894
11,-0.008999942514321506,-0.05884283015798303,-0.011267979896247638,-0.33980963541222786,0.06419604129706451
12,-0.08432154561079298,-0.06488754555655452,-0.0700633241436139,-0.2847233301831993,0.07424234225483924
13,-0.011538855870950755,-0.03588484427282529,-0.02420809733101019,-0.21898525429227333,0.05638278709692976
14,0.034748658209697525,-0.02196884246124431,-0.09918159522980328,-0.14320044309669588,0.03811854623979
15,-0.026341196059657356,-0.039989364533969174,-0.12376743468046084,-0.07647579831032725,0.013736822275994922
16,-0.010860534129942343,0.02042718097498819,-0.07954164450753148,-0.008760298113287046,-0.006422969097950485
17,-0.024614883732206043,-0.0024150564947626463,-0.12887905720020462,0.04660809038432079,-0.025929756121302522
18,0.007198570764891649,-0.0011816504949331286,-0.07707891430221951,0.07261497145158397,-0.042594528161422486
19,0.0223219445477148,0.014488715490951598,-0.056569063392214826,0.09031140139552973,-0.05389278629166926
20,0.048330735371615634,0.012421481142507018,-0.06440447073958505,0.09712797845455429,-0.07327715653110216
21,0.03185792886333543,0.0004936341548447687,-0.060357460999472895,0.07359853399892402,-0.05876602682091419
22,-0.04191620994419537,0.00656876325056488,-0.05745430475772854,0.050386396150508994,-0.05691338156451566
23,0.0026852840887245347,-0.02786069412741371,-0.019904229615117112,0.013672280147991545,-0.020389617523623758
24,-0.023068885145766837,0.046675928085561924,-0.04092380738878983,-0.01492965074990843,-0.021618708489182285
25,-0.03789469159833145,0.036097382224702934,-0.08960746262560444,-0.05214209437426365,0.011269525983045491
26,0.006802850357774243,0.03078023211581682,-0.09481075335852134,-0.06904530060471203,0.03552449347284073
27,0.021488959514297443,0.02963289680857173,-0.07517582233468811,-0.08917019296716766,0.06264827994216512
28,0.007064464199652845,0.04411744083914343,-0.08988333960103537,-0.10437963724407495,0.08304955816439699
29,0.0016365286420573497,0.032087498864168174,-0.12196606357953205,-0.08890365118052879,0.08133625997276142
30,0.033476576505711536,0.025367910377655734,-0.13706951886671842,-0.06679553608586336,0.08094353219596952
