step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site20,Z_site25
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1,0.9801751622459176,-0.9604328736705042,0.9604329950703827,-0.9604329941579139,0.9604329941571517,-0.9604329941602463,-0.960432994148697,0.9801751630656054
2,0.9224243784431407,-0.8479290444572377,0.8479087203282724,-0.8479238328781515,0.8479094807489501,-0.8479236708490394,-0.8479230035621276,0.9224224025339225
3,0.8318808116222851,-0.6797523590801702,0.6796511485307448,-0.6797196041919283,0.6796476219805043,-0.6797192851191176,-0.6797186318400898,0.8318802946533268
4,0.7167115125005104,-0.4806379168529129,0.48038949630998046,-0.48056220576615294,0.48037801053875606,-0.4805621200502378,-0.48056144282291097,0.7167159833216198
5,0.5873021082166939,-0.27777857094276903,0.27737947289060605,-0.27767744349565143,0.2773572520389843,-0.2776793969584027,-0.27767724054129617,0.5873067206639312
6,0.45495146971534467,-0.09580641654029698,0.0954612262484057,-0.09583940636996711,0.09543128024734371,-0.09584932229303689,-0.09583996587705551,0.45496237321455757
7,0.3308637562280739,0.04722078057582707,-0.046956697497056554,0.04660377804844285,-0.04697669111577482,0.04657455258069709,0.046602195174134387,0.3308845501029287
8,0.2243865203217569,0.14206078657751564,-0.14014819605581397,0.13994475854471394,-0.14012372090419084,0.13987566036747068,0.13994950302761355,0.22442058198530826
9,0.14183971732040687,0.18847599776415597,-0.18332510876949581,0.1834255273941066,-0.18328633730228994,0.18330572862616012,0.183434350503495,0.14188816367340595
10,0.08600057883087246,0.19369917698488676,-0.18314795305121,0.18380456068260362,-0.18330028095668888,0.18360315994371967,0.18381838508528522,0.08606254304933039
